CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8327444,2017,6/20/17,1/28/17,931,NORTH,6,7,3801,0,VAN NESS AV,EDDY ST,67,N,N,A,-,Y,SF,4,101,-,-,5.43,H,-,S,N,3,2,A,-,11,21955,,N,G,B,D,A,H,-,A,D,0,Y,,N,60,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4209378,37.78307102
8327429,2017,8/2/17,2/3/17,105,NORTH,5,7,3801,0,RICHARDSON AV,CHESTNUT ST,200,S,N,C,-,Y,SF,4,101,-,-,7.86,H,-,N,Y,3,2,A,-,9,21453,B,N,E,I,A,B,H,-,C,A,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.445436,37.79928084
8327415,2017,8/2/17,2/10/17,1344,TARAV,5,7,3801,0,19TH AV,TARAVAL ST,85,N,N,A,-,Y,SF,4,1,-,-,2.52,H,-,N,Y,4,3,A,-,7,21658,A,N,B,C,A,A,H,-,A,D,0,Y,,C,2,-,-,37.7431,-122.47585,SAN FRANCISCO,SAN FRANCISCO,-122.4756502,37.74335971
8305683,2017,6/27/17,2/2/17,1520,NORTH,4,7,3801,0,LOMBARD ST,STEINER ST,16,E,N,B,-,Y,SF,4,101,-,-,7.42,H,-,N,Y,4,2,A,-,4,21703,,N,C,C,A,B,H,-,A,A,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4375318,37.79972478
8305389,2017,6/28/17,1/17/17,1612,NORTH,2,7,3801,0,LOMBARD ST,PIERCE ST,64,E,N,A,-,Y,SF,4,101,-,-,7.51,H,-,N,Y,3,4,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4392605,37.79950567
8305373,2017,2/10/18,1/17/17,1818,NORTH,2,7,3801,0,VAN NESS AV,TURK ST,105,N,N,A,-,Y,SF,4,101,-,-,5.37,H,-,N,Y,4,3,A,-,4,21703,,N,C,C,A,A,H,-,C,D,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4206117,37.78221943
8305347,2017,6/28/17,1/22/17,229,RICHM,7,7,3801,0,PARK PRESIDIO BYPASS,CROSSOVER DR,0,,Y,C,-,Y,SF,4,1,-,-,4.55,H,-,S,Y,2,1,A,-,1,23153,A,N,F,I,A,B,H,-,C,D,0,Y,Y,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4793411,37.77201246
8327436,2017,8/2/17,2/7/17,1525,TARAV,2,7,3801,0,19TH AV,BANBURY DR,0,,Y,A,-,Y,SF,4,1,-,-,0.83,I,5,N,Y,4,1,A,-,3,22350,,N,D,I,A,B,H,-,-,-,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4746541,37.71946565
8327427,2017,8/1/17,2/6/17,2059,TARAV,1,7,3801,0,19TH AV,IRVING ST,0,,Y,C,-,Y,SF,4,1,-,-,3.95,I,5,N,N,3,2,A,-,10,21950,A,N,G,B,B,B,H,-,C,A,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4771639,37.76389683
8305601,2017,6/28/17,1/7/17,2355,NORTH,6,7,3801,0,VAN NESS AV,PINE ST,0,,Y,C,-,Y,SF,4,101,-,-,5.87,I,5,S,Y,4,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,Y,,A,1,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.4222544,37.78942659
