CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8371114,2017,2018-06-20,103,2017-02-08,1948,8,,3,5,6,103,0,0,0,,0,8,ASHBY,ELMWOOD CT,102,W,N,A,-,Y,ALA,4,13,-,-,10.93,H,-,S,Y,4,0,1,2,A,-,1,23152,A,N,C,E,A,A,H,-,C,D,0,,,,,Y,Y,A,7,0,0,1,0,0,0,0,0,0,-,-,37.85806,-122.24813,ALAMEDA,BERKELEY,-122.24788627,37.85788222
8371043,2017,2018-06-20,103,2017-02-05,1530,19,,7,5,6,103,0,0,0,,0,13,ASHBY,SAN PABLO AV,100,W,N,B,-,Y,ALA,4,13,-,-,13.2,H,-,S,N,4,0,2,2,A,-,3,22350,,F,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,37.85163,-122.2894,ALAMEDA,BERKELEY,-122.2870014,37.85205678
8339181,2017,2017-08-04,103,2017-01-05,1504,17,,4,5,6,103,0,0,0,,0,7,ASHBY 123,COLBY ST,116,E,N,A,-,Y,ALA,4,123,-,-,11.54,H,-,S,,4,0,2,4,A,-,4,21703,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,2,0,0,0,0,0,0,-,-,37.85593,-122.2573,ALAMEDA,BERKELEY,,
8339122,2017,2017-07-28,103,2017-01-27,1518,152,,5,5,6,103,0,0,0,,0,8,ASHBY,FULTON ST,174,W,N,A,-,Y,ALA,4,13,-,-,11.87,H,-,N,N,4,0,1,3,A,-,3,22350,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.85585,-122.26413,ALAMEDA,BERKELEY,-122.26398087,37.85567099
8332223,2017,2018-02-10,103,2017-01-24,1829,1,,2,5,6,103,0,0,0,,0,4,SAN PABLO,DELAWARE ST,0,,N,A,-,Y,ALA,4,123,-,-,8.36,H,-,S,N,4,0,2,3,A,-,3,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,0,2,0,0,0,0,0,0,-,-,37.87169,-122.29297,ALAMEDA,BERKELEY,-122.29297,37.87169
8319009,2017,2017-06-27,112,2017-02-10,1324,326,,5,5,5,112,0,0,0,,0,4,DAVIS ST,WARDEN AV,0,,Y,A,-,Y,ALA,4,112,-,R,0.44,H,-,W,N,4,0,1,3,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,-,-,,,ALAMEDA,SAN LEANDRO,-122.17944953,37.71857502
8318530,2017,2017-08-01,113,2017-02-06,1013,3412,,1,5,5,113,0,0,0,,0,4,MISSION BL,HOLLYLEAF LN,30,N,N,B,-,Y,ALA,4,238,-,-,6.02,H,-,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,,,ALAMEDA,UNION CITY,-122.00672673,37.59421738
8306431,2017,2017-06-27,112,2017-02-05,22,360,,7,5,5,112,0,0,0,,0,2,E 14TH ST,CASTRO ST,98,N,N,A,-,Y,ALA,4,185,-,-,5.21,H,-,N,N,4,0,1,2,A,-,11,21955,,M,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,-,-,,,ALAMEDA,SAN LEANDRO,-122.15010054,37.72078338
8297143,2017,2017-08-04,106,2017-01-04,553,324,,3,5,6,106,0,0,0,,0,00H,MISSION BL,INDUSTRIAL PKWY,30,N,N,C,-,Y,ALA,4,238,-,-,9.3,H,-,S,Y,4,0,1,2,A,-,7,21658,A,N,B,C,A,B,H,-,C,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.62968,-122.04694,ALAMEDA,HAYWARD,-122.04668,37.62930444
8296771,2017,2018-02-10,105,2017-01-26,1509,14175,,4,5,6,105,0,0,0,,0,,RT 84,PERALTA BL,28,E,N,A,-,Y,ALA,4,84,-,-,9.96,H,-,S,N,3,0,1,3,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,-,-,33.23011,-117.66222,ALAMEDA,FREMONT,-121.97883849,37.56431094
