CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8348796,2017,2017-06-28,705,2017-02-06,1801,E183,PATRO,1,5,3,705,0,0,0,,0,11,SAN PABLO AV,CUTTING BL,300,S,N,C,-,Y,CC,4,123,-,-,2.04,H,-,N,Y,4,0,1,1,A,-,8,22107,,N,E,I,A,B,H,-,C,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,,,CONTRA COSTA,EL CERRITO,-122.31784971,37.92454818
8311001,2017,2018-02-10,705,2017-01-26,2003,E183,PATRO,4,5,3,705,0,0,0,,0,11,RT 123,PORTOLA DR,2,N,N,A,-,Y,CC,4,123,-,-,1.11,I,5,S,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,D,0,Y,,,,Y,Y,A,1,0,1,0,0,1,0,0,0,0,-,-,,,CONTRA COSTA,EL CERRITO,-122.30951221,37.91266496
90400422,2017,2017-02-27,9320,2017-02-05,2000,21352,,7,2,4,709,0,1,1,,2,683,I-680 S/B TO MONUMENT BLVD OFF RAMP,MONUMENT BOULEVARD,500,N,N,B,C,Y,,,680,,,,R,,S,Y,4,0,3,5,A,-,3,22350,,N,C,C,A,B,H,-,C,D,0,,,,,Y,,A,8,0,0,3,0,0,0,0,0,0,-,-,37.9499,-122.05657,CONTRA COSTA,PLEASANT HILL,-122.05657,37.9499
90393732,2017,2017-02-15,9320,2017-02-08,1450,18803,,3,2,4,709,0,1,1,,2,683,I-680 N/B FROM MONUMENT BLVD. ON-RAMP,MONUMENT BLVD,60,N,N,C,-,Y,,,680,,,,R,,N,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.94609,-122.05729,CONTRA COSTA,PLEASANT HILL,-122.05729,37.94609
90392395,2017,2017-02-14,9320,2017-02-06,2002,21415,,1,2,5,701,0,1,3,,2,404,SR-4 W/B FROM SOMERSVILLE RD ON-RAMP,SOMERSVILLE RD,6,W,N,C,-,Y,,,4,,,,R,,W,N,3,0,1,2,A,-,10,21950,A,N,G,B,E,B,H,-,C,A,0,Y,,,,Y,,D,22,0,1,0,0,1,0,0,0,0,-,-,38.00492,-121.83644,CONTRA COSTA,ANTIOCH,-121.83644,38.00492
90387305,2017,2017-02-07,9320,2017-01-21,1048,21472,,6,1,5,712,0,1,1,,2,682,I-680 N/B TO TREAT BLVD,TREAT BLVD,23,S,N,B,-,Y,,,680,,,,R,,N,Y,3,0,1,1,A,-,1,23152,A,N,F,A,A,B,H,-,A,A,0,,,Y,,Y,Y,C,2,0,1,0,0,0,0,0,0,1,-,-,37.92625,-122.05993,CONTRA COSTA,WALNUT CREEK,-122.05993,37.92625
90384399,2017,2017-02-02,9370,2017-01-24,2022,19160,,2,2,5,710,0,1,1,,2,82,I-80 W/B FROM POTRERO AVE,POTRERO AVE,1087,W,N,A,-,Y,,,80,,,,R,,W,Y,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.91786,-122.31765,CONTRA COSTA,RICHMOND,-122.31765,37.91786
90381204,2017,2017-01-30,9320,2017-01-21,913,21472,,6,1,3,792,0,1,3,,2,240,SR-24 E/B TO CAMINO PABLO,CAMINO PABLO,52,W,N,B,-,Y,,,24,,,,R,,E,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.8774,-122.18217,CONTRA COSTA,ORINDA,-122.18217,37.8774
90380882,2017,2017-02-16,9370,2017-01-26,1220,20953,,4,1,5,710,0,1,1,,2,83,I-80 WESTBOUND TO HILLTOP DRIVE,HILLTOP DRIVE,876,E,N,A,-,Y,,,80,,,,R,,W,N,4,0,1,2,A,-,5,21651,A,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.97874,-122.31782,CONTRA COSTA,RICHMOND,-122.31782,37.97874
90376986,2017,2017-01-25,9320,2017-01-14,1755,21352,,6,2,5,701,0,1,3,,2,404,SR-4 W/B TO SOMERSVILLE OFF RAMP,SOMERSVILLE ROAD,60,W,N,A,-,Y,,,4,,,,R,,W,N,4,0,1,4,A,-,21,22106,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,-,-,38.00492,-121.83688,CONTRA COSTA,ANTIOCH,-121.83688,38.00492
