CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8327444,2017,2017-06-20,3801,2017-01-28,931,2127,NORTH,6,5,7,3801,0,0,0,,0,4B1A,VAN NESS AV,EDDY ST,67,N,N,A,-,Y,SF,4,101,-,-,5.43,H,-,S,N,3,0,1,2,A,-,11,21955,,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.42093775,37.78307102
8327429,2017,2017-08-02,3801,2017-02-03,105,2191,NORTH,5,5,7,3801,0,0,0,,0,3E15E,RICHARDSON AV,CHESTNUT ST,200,S,N,C,-,Y,SF,4,101,-,-,7.86,H,-,N,Y,3,0,1,2,A,-,9,21453,B,N,E,I,A,B,H,-,C,A,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.445436,37.79928084
8327415,2017,2017-08-02,3801,2017-02-10,1344,1764,TARAV,5,5,7,3801,0,0,0,,0,4B5I,19TH AV,TARAVAL ST,85,N,N,A,-,Y,SF,4,1,-,-,2.52,H,-,N,Y,4,0,1,3,A,-,7,21658,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,C,2,0,0,1,0,0,0,0,0,1,-,-,37.7431,-122.47585,SAN FRANCISCO,SAN FRANCISCO,-122.47565019,37.74335971
8305683,2017,2017-06-27,3801,2017-02-02,1520,129,NORTH,4,5,7,3801,0,0,0,,0,3E13C,LOMBARD ST,STEINER ST,16,E,N,B,-,Y,SF,4,101,-,-,7.42,H,-,N,Y,4,0,1,2,A,-,4,21703,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.43753178,37.79972478
8305389,2017,2017-06-28,3801,2017-01-17,1612,235,NORTH,2,5,7,3801,0,0,0,,0,3E14C,LOMBARD ST,PIERCE ST,64,E,N,A,-,Y,SF,4,101,-,-,7.51,H,-,N,Y,3,0,1,4,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.43926051,37.79950567
8305373,2017,2018-02-10,3801,2017-01-17,1818,273,NORTH,2,5,7,3801,0,0,0,,0,3E13D,VAN NESS AV,TURK ST,105,N,N,A,-,Y,SF,4,101,-,-,5.37,H,-,N,Y,4,0,3,3,A,-,4,21703,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,1,0,0,3,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.42061174,37.78221943
8305347,2017,2017-06-28,3801,2017-01-22,229,740,RICHM,7,5,7,3801,0,0,0,,0,3G12E,PARK PRESIDIO BYPASS,CROSSOVER DR,0,,Y,C,-,Y,SF,4,1,-,-,4.55,H,-,S,Y,2,0,2,1,A,-,1,23153,A,N,F,I,A,B,H,-,C,D,0,,,,,Y,Y,A,1,1,1,0,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.47934114,37.77201246
8327436,2017,2017-08-02,3801,2017-02-07,1525,4375,TARAV,2,5,7,3801,0,0,0,,0,3I15D,19TH AV,BANBURY DR,0,,Y,A,-,Y,SF,4,1,-,-,0.83,I,5,N,Y,4,0,1,1,A,-,3,22350,,N,D,I,A,B,H,-,-,-,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.47465407,37.71946565
8327427,2017,2017-08-01,3801,2017-02-06,2059,2030,TARAV,1,5,7,3801,0,0,0,,0,1 CAR,19TH AV,IRVING ST,0,,Y,C,-,Y,SF,4,1,-,-,3.95,I,5,N,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,B,H,-,C,A,0,Y,,,,Y,,A,1,0,1,0,0,1,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.47716386,37.76389683
8305601,2017,2017-06-28,3801,2017-01-07,2355,1364,NORTH,6,5,7,3801,0,0,0,,0,902,VAN NESS AV,PINE ST,0,,Y,C,-,Y,SF,4,101,-,-,5.87,I,5,S,Y,4,0,2,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,,,SAN FRANCISCO,SAN FRANCISCO,-122.42225444,37.78942659
