CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8423444,2017,2018-06-20,4116,2017-02-07,1520,28137,23,2,5,5,4116,0,0,0,,0,00A,SOUTH EL CAMINO REAL,12TH AV,143,N,N,B,-,Y,SM,4,82,-,-,11.11,H,-,N,N,4,0,2,3,A,-,3,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,37.55642,-122.31873,SAN MATEO,SAN MATEO,-122.31866414,37.55637876
8423437,2017,2018-06-20,4116,2017-02-07,1939,28093,34,2,5,5,4116,0,0,0,,0,00C,SOUTH EL CAMINO REAL,20TH AV,348,N,N,B,-,Y,SM,4,82,-,-,10.44,H,-,S,N,4,0,1,2,A,-,1,23152,B,N,C,C,A,B,H,-,C,D,0,,,,,Y,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,37.56299,-122.32552,SAN MATEO,SAN MATEO,-122.31064446,37.54902816
8423429,2017,2018-02-28,4116,2017-01-23,742,26724,14,1,5,5,4116,0,0,0,,0,00A,EL CAMINO REAL,BALDWIN,0,,Y,B,-,Y,SM,4,82,-,-,11.93,H,-,N,N,4,0,1,2,D,-,0,,,N,B,C,A,B,H,-,A,D,0,,,,,Y,,-,-,0,0,1,0,0,0,0,0,0,-,-,37.56738,-122.32952,SAN MATEO,SAN MATEO,-122.32822336,37.56553359
8423421,2017,2018-06-20,4116,2017-01-17,1650,27308,34,2,5,5,4116,0,0,0,,0,00C,SOUTH EL CAMINO REAL,28TH AV,535,S,N,A,-,Y,SM,4,82,-,-,9.69,H,-,S,N,4,0,1,2,A,-,5,21202,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,4,0,0,1,0,0,0,1,0,0,-,-,37.54047,-122.30233,SAN MATEO,SAN MATEO,-122.30164054,37.54058322
8362335,2017,2017-07-28,4109,2017-02-09,941,145746,25A,4,5,4,4109,0,0,0,,0,1,RT 82,VALPARAISO AV,138,S,N,C,-,Y,SM,4,82,-,-,1.05,H,-,S,N,4,0,1,3,A,-,3,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.45503,-122.18639,SAN MATEO,MENLO PARK,-122.18728249,37.45570134
8326993,2017,2017-08-02,4109,2017-02-08,1719,145746,26,3,5,4,4109,0,0,0,,0,1,RT 82,CAMBRIDGE,0,,Y,B,-,Y,SM,4,82,-,-,0.17,H,-,N,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,B,D,0,,,,,Y,,A,8,0,0,1,0,0,0,0,0,0,-,-,37.44892,-122.1754,SAN MATEO,MENLO PARK,-122.17414187,37.448479
8326969,2017,2017-08-02,4109,2017-02-09,1111,14749,17,4,5,4,4109,0,0,0,,0,3,RT 84,CHILCO ST,0,,Y,C,-,Y,SM,4,84,-,R,26.72,H,-,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.45296,-122.18172,SAN MATEO,MENLO PARK,-122.16713214,37.48321589
8323956,2017,2017-06-28,4113,2017-02-06,51,433,3,1,5,5,4113,0,0,0,,0,3,WOODSIDE RD,MIDDLEFIELD RD,1038,W,N,C,-,Y,SM,4,84,-,-,24.86,H,-,S,Y,4,0,2,2,A,-,3,22350,,N,C,C,A,B,H,-,C,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,37.4895,-122.2386,SAN MATEO,REDWOOD CITY,-122.22067587,37.47855101
8319885,2017,2017-08-01,4114,2017-02-08,1710,35,SNB36,3,5,4,4114,0,0,0,,0,3,SKYLINE BL,WESTBOROUGH BL,45,S,N,B,C,Y,SM,4,35,-,-,26.22,H,-,N,Y,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,C,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,,,SAN MATEO,SAN BRUNO,-122.46395709,37.6387435
8315867,2017,2017-06-28,4101,2017-02-07,2233,16KM02,,2,5,2,4101,0,0,0,,0,2,RT 82,ENCINAL AV,322,N,N,B,-,Y,SM,4,82,-,-,1.34,H,-,S,N,4,0,1,2,A,-,0,21760,C,N,H,G,A,B,H,-,D,D,0,,Y,,,Y,Y,A,1,0,0,1,0,0,0,1,0,0,-,-,37.4574,-122.19082,SAN MATEO,ATHERTON,-122.19179393,37.45794387
