CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8370958,2017,2018-02-23,4300,2017-01-28,232,2178,S5,6,5,4,4315,0,0,0,,0,61S5,SARATOGA LOS GATOS RD,BIG BASIN WY,32,S,N,A,-,Y,SCL,4,9,-,-,7.42,H,-,N,Y,2,0,1,1,A,-,1,23152,A,N,E,I,A,A,H,-,C,A,0,,,,,Y,Y,A,1,1,0,0,0,0,0,0,0,0,-,-,37.25897,-122.03242,SANTA CLARA,SARATOGA,-122.03213736,37.25920094
8348944,2017,2017-07-28,4314,2017-01-10,1732,O0211,,2,5,6,4314,0,0,0,,0,5,EL CAMINO REAL,SAN TOMAS PKWY,75,E,N,C,-,Y,SCL,4,82,-,-,12.79,H,-,N,N,4,0,1,2,D,-,0,,,N,C,C,A,B,H,-,C,D,0,,,,,Y,,-,-,0,0,1,0,0,0,0,0,0,-,-,37.35251,-121.9685,SANTA CLARA,SANTA CLARA,-121.96838383,37.35243494
8318830,2017,2017-08-04,4311,2017-01-30,1825,L4843,,1,5,5,4311,0,0,0,,0,1,EL CAMINO REAL,PHYLLIS AV,46,W,N,A,-,Y,SCL,4,82,-,-,19.49,H,-,S,N,4,0,1,2,A,-,3,22350,,F,C,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,MOUNTAIN VIEW,-122.07789508,37.38269669
8318726,2017,2017-07-28,4304,2017-02-10,1423,C06149,,5,5,4,4304,0,0,0,,0,3,1ST ST,LIGHT POLE #1154,78,E,N,A,B,Y,SCL,4,152,-,-,8.47,H,-,W,Y,4,0,2,2,A,-,9,21801,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,I,10,0,0,2,0,0,0,0,0,0,-,-,,,SANTA CLARA,GILROY,-121.58961113,37.01367494
8317019,2017,2017-08-04,4316,2017-01-20,1505,15094,42,5,5,6,4316,0,0,0,,0,4,EL CAMINO REAL,FAIR OAKS AV,1063,E,N,A,-,Y,SCL,4,82,-,-,16.36,H,-,N,N,3,0,1,2,A,-,9,21804,A,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,A,1,0,1,0,0,1,0,0,0,0,-,-,37.36187,-122.02504,SANTA CLARA,SUNNYVALE,-122.02742456,37.3639041
8315947,2017,2018-03-08,4305,2017-02-02,2206,322,1,4,5,4,4305,0,0,0,,0,1,EL CAMINO REAL,LOS ALTOS AV,0,,Y,B,-,Y,SCL,4,82,-,-,22.18,H,-,S,Y,4,0,1,3,A,-,3,22350,,M,C,C,A,B,H,-,C,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,LOS ALTOS,-122.11839609,37.40471021
8313415,2017,2017-06-27,4311,2017-02-01,1847,T1291,,3,5,5,4311,0,0,0,,0,1,EL CAMINO REAL,SYLVAN AV,454,E,N,B,-,Y,SCL,4,82,-,-,18.66,H,-,N,Y,4,0,4,3,A,-,3,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,1,0,0,4,0,0,0,0,0,0,-,-,,,SANTA CLARA,MOUNTAIN VIEW,-122.06477597,37.37721598
8308135,2017,2017-06-27,4313,2017-02-04,1306,4230,WESTE,6,5,7,4313,0,0,0,,0,0N6,LAWRENCE EXP,MOORPARK AV,0,,Y,B,-,Y,SCL,4,280,-,-,6.93,H,-,N,Y,4,0,1,3,A,-,3,22350,,N,B,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,SAN JOSE,-121.99224768,37.31921505
8304577,2017,2017-06-28,4308,2017-01-11,1719,225,3,3,5,5,4308,0,0,0,,0,3,CALAVERAS BL,MILPITAS BL,0,,Y,B,-,Y,SCL,4,237,-,-,10.32,H,-,E,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,B,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.43194,-121.90206,SANTA CLARA,MILPITAS,-121.90179273,37.43205544
8302550,2017,2017-08-04,4316,2017-01-11,1728,17465,34,3,5,6,4316,0,0,0,,0,3,EL CAMINO REAL,MATHILDA AV,360,W,N,B,-,Y,SCL,4,82,-,-,17.11,H,-,S,N,3,0,2,2,A,-,3,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,7,0,1,1,0,0,0,0,0,0,-,-,37.36917,-122.03725,SANTA CLARA,SUNNYVALE,-122.03831726,37.36932112
8302546,2017,2017-08-04,4316,2017-01-10,615,11339,31,2,5,6,4316,0,0,0,,0,3,EL CAMINO REAL,PASTORIA AV,0,,Y,C,-,Y,SCL,4,82,-,-,17.26,H,-,N,Y,2,0,1,2,A,-,0,21453,,N,H,G,A,B,H,-,C,A,0,,Y,,,Y,,L,4,1,0,0,0,0,0,1,0,0,-,-,37.36992,-122.04094,SANTA CLARA,SUNNYVALE,-122.04089311,37.37016494
8302514,2017,2017-08-04,4316,2017-01-05,1045,13828,52,4,5,6,4316,0,0,0,,0,5,EL CAMINO REAL,PASTORIA AV,50,W,N,A,-,Y,SCL,4,82,-,-,17.28,H,-,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.36992,-122.04094,SANTA CLARA,SUNNYVALE,-122.04127496,37.37010571
8301814,2017,2017-08-04,4312,2017-01-27,1313,4950,,5,5,5,4312,0,0,0,,0,4,RT 82,CURTNER AV,60,N,N,A,-,Y,SCL,4,82,-,-,23.36,H,-,S,Y,3,0,1,2,A,-,7,21658,A,N,B,C,A,A,H,-,A,D,0,,,Y,,Y,,A,1,0,1,0,0,0,0,0,0,1,-,-,,,SANTA CLARA,PALO ALTO,-122.13217366,37.4178261
8300206,2017,2017-08-04,4311,2017-01-08,1710,A7041,,7,5,5,4311,0,0,0,,0,1,EL CAMINO REAL,CALDERON AV,60,E,N,C,-,Y,SCL,4,82,-,-,19.47,H,-,N,N,4,0,1,3,A,-,3,22350,,N,C,C,A,B,H,-,C,A,0,,,,,Y,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,MOUNTAIN VIEW,-122.07744917,37.38266383
8294741,2017,2017-08-04,4311,2017-01-07,1938,W2663,,6,5,5,4311,0,0,0,,0,1,EL CAMINO REAL,BAY ST,185,E,N,C,-,Y,SCL,4,82,-,-,19.28,H,-,N,Y,4,0,2,2,A,-,9,21804,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,,,SANTA CLARA,MOUNTAIN VIEW,-122.0745866,37.38124384
8292064,2017,2017-08-04,4312,2017-01-09,1823,4129,,1,5,5,4312,0,0,0,,0,,EL CAMINO REAL,COLLEGE AV,20,S,N,B,-,Y,SCL,4,82,-,-,0.31,H,-,N,Y,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,B,D,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,PALO ALTO,-122.14751384,37.42612921
8290241,2017,2017-08-04,4312,2017-01-18,1405,5860,,3,5,5,4312,0,0,0,,0,2,PAGE MILL RD,RT 82,89,E,N,B,C,Y,SCL,4,82,-,-,24.03,H,-,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,PALO ALTO,-122.14191614,37.42289717
8281907,2017,2018-02-27,4304,2017-01-04,609,V6898,43635,3,5,4,4304,0,0,0,,0,1,PACHECO PASS,CAMINO ARROYO,700,E,N,C,-,Y,SCL,4,152,-,-,10.47,H,-,W,Y,3,0,1,2,A,-,6,21755,,N,B,C,A,B,H,-,D,D,0,,,,,Y,,-,,0,1,0,0,0,0,0,0,0,-,-,,,SANTA CLARA,GILROY,-121.54964706,37.00401341
8207916,2017,2017-08-04,4308,2017-01-01,1751,314,,7,5,5,4308,0,0,0,,0,B-1,RT 237,ABBOTT AV,50,E,N,A,-,Y,SCL,4,237,-,-,9.59,H,-,E,Y,4,0,1,2,A,-,7,21658,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.42671,-121.91319,SANTA CLARA,MILPITAS,-121.9121908,37.42677468
8348940,2017,2017-07-28,4314,2017-01-07,1906,L9279,43471,6,5,6,4314,0,0,0,,0,2,EL CAMINO REAL,SCOTT BL,0,,Y,C,-,Y,SCL,4,82,-,-,12.31,I,5,S,Y,4,0,2,3,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,B,8,0,0,2,0,0,0,0,0,0,-,-,37.3524,-121.95948,SANTA CLARA,SANTA CLARA,-121.95948702,37.35228103
8333253,2017,2017-08-04,4316,2017-01-30,1558,17465,61,1,5,6,4316,0,0,0,,0,6,EL CAMINO REAL,SUNNYVALE AV,0,,Y,A,-,Y,SCL,4,82,-,-,16.762,I,5,S,N,4,0,1,4,A,-,12,21453,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.36782,-122.03195,SANTA CLARA,SUNNYVALE,-122.03215549,37.36752807
8323928,2017,2017-08-01,4308,2017-02-06,1519,232,,1,5,5,4308,0,0,0,,0,,RT 237,S ABBOTT AV,0,,Y,A,-,Y,SCL,4,237,-,-,9.571,I,5,E,Y,3,0,2,3,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,1,1,0,0,0,0,0,0,-,-,37.42667,-121.912,SANTA CLARA,MILPITAS,-121.91250668,37.42668242
8315077,2017,2017-08-04,4316,2017-01-26,1448,18691,61,4,5,6,4316,0,0,0,,0,61C1,EL CAMINO REAL,FAIR OAKS AV,0,,Y,A,-,Y,SCL,4,82,-,-,16.16,I,5,N,Y,3,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,-,37.36187,-122.02504,SANTA CLARA,SUNNYVALE,-122.02499311,37.36189494
8304581,2017,2017-06-28,4308,2017-01-12,1631,232,,4,5,5,4308,0,0,0,,0,1,CALAVERAS BL,ABEL ST,0,,Y,B,-,Y,SCL,4,237,-,T,9.9,I,5,W,Y,4,0,1,2,D,-,0,,,N,D,C,A,B,H,-,A,A,0,,,,,Y,,-,-,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,MILPITAS,-121.90878273,37.43048952
8304561,2017,2017-06-28,4304,2017-01-21,1643,L05267,186,6,5,4,4304,0,0,0,,0,1,CAMINO ARROYO,PACHECO DR,0,,Y,C,-,Y,SCL,4,152,-,-,10.34,I,6,W,N,4,0,2,2,A,-,3,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,,,SANTA CLARA,GILROY,-121.55172388,37.00413885
8304440,2017,2017-06-28,4304,2017-01-22,1552,L05267,36,7,5,4,4304,0,0,0,,0,2,WREN AV,1ST ST,0,,Y,C,-,Y,SCL,4,152,-,-,8.629,I,6,W,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,GILROY,-121.58664393,37.01358067
8304436,2017,2017-08-01,4304,2017-02-05,1917,E8237,4304,7,5,4,4304,0,0,0,,0,4,LEAVESLEY RD,MURRAY AV,0,,Y,C,-,Y,SCL,4,152,-,M,10.105,I,5,W,Y,3,0,3,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,-,,0,1,2,0,0,0,0,0,0,-,-,,,SANTA CLARA,GILROY,-121.56870165,37.02171539
8300266,2017,2017-08-04,4314,2017-01-26,2119,M1711,43471,4,5,6,4314,0,0,0,,0,1,EL CAMINO REAL,POMEROY AV,0,,Y,A,-,Y,SCL,4,82,-,-,13.821,I,5,N,Y,4,0,1,2,A,-,1,23152,,N,A,C,A,A,H,-,C,A,0,,,,,Y,Y,-,,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,SANTA CLARA,-121.98680897,37.35244556
8292017,2017,2017-07-28,4304,2017-01-13,1414,G03346,4304,5,5,4,4304,0,0,0,,0,2,1ST ST,CHURCH ST,0,,Y,A,-,Y,SCL,4,152,-,-,9.3,I,5,E,Y,4,0,1,2,A,-,12,21453,A,F,D,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,GILROY,-121.57451783,37.01400344
90395421,2017,2017-02-17,9330,2017-02-07,1308,21508,,2,1,5,4311,0,1,3,,2,76,SR-85 N/B TO SR-237 EB,SR-237,45,S,N,B,-,Y,,,85,,,,R,,N,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.3846,-122.0669,SANTA CLARA,MOUNTAIN VIEW,-122.0669,37.3846
90395392,2017,2017-02-17,9340,2017-02-09,1835,21135,,4,2,7,4313,0,1,1,,2,281,I-880 N/B FROM STEVENS CREEK BOULEVARD,STEVENS CREEK BLVD,64,S,N,C,-,Y,,,880,,,,R,,N,Y,4,0,1,2,A,-,1,23152,A,N,D,C,A,B,H,-,C,D,0,,,,,Y,Y,A,1,0,0,1,0,0,0,0,0,0,-,-,37.3226,-121.9394,SANTA CLARA,SAN JOSE,-121.9394,37.3226
90394716,2017,2017-02-16,9340,2017-02-10,220,20942,,5,3,7,4313,0,1,1,,2,681,I-680 S/B TO US-101 S/B,KING RD,305,S,N,C,-,Y,,,680,,,,R,,S,Y,4,0,1,1,A,-,8,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,-,-,37.3428,-121.8475,SANTA CLARA,SAN JOSE,-121.8475,37.3428
90394429,2017,2017-02-16,9340,2017-02-04,2120,20937,,6,2,7,4313,0,1,1,,2,681,I-680 N/B TO KING ROAD OFF RAMP,KING ROAD,1280,S,N,A,-,Y,,,680,,,,R,,N,Y,3,0,5,2,A,-,8,22107,,N,C,C,A,B,H,-,D,D,0,,,,,Y,,D,22,0,1,4,0,0,0,0,0,0,-,-,37.3409,-121.8496,SANTA CLARA,SAN JOSE,-121.8496,37.3409
90393382,2017,2017-02-15,9340,2017-02-05,1830,21259,,7,2,7,4313,0,1,1,,2,681,I-680 NB TO CAPTITOL EXWY EB,CAPITOL EXWY,40,S,N,C,-,Y,,,680,,,,R,,N,Y,4,0,1,1,A,-,1,23152,A,N,E,I,A,B,H,-,D,D,0,,,,,Y,Y,A,7,0,0,1,0,0,0,0,0,0,-,-,37.3554,-121.8364,SANTA CLARA,SAN JOSE,-121.8364,37.3554
90392436,2017,2017-02-14,9340,2017-02-08,505,20609,,3,3,7,4313,0,1,3,,2,83,SR-85 S/B TO CAMDEN AVE,CAMDEN AVE,250,S,N,C,-,Y,,,85,,,,R,,S,Y,4,0,2,2,A,-,5,21651,B,N,A,C,A,B,H,-,D,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,37.25027,-121.90924,SANTA CLARA,SAN JOSE,-121.90924,37.25027
90392333,2017,2017-02-14,9330,2017-01-24,730,21508,,2,1,5,4312,0,1,2,,2,78,US-101 N/B EMBARCADERO OFF RAMP,EMBARCADERO RD,5,N,N,A,-,Y,,,101,,,,R,,N,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,-,-,37.4493,-122.1222,SANTA CLARA,PALO ALTO,-122.1222,37.4493
90390327,2017,2017-02-10,9340,2017-02-05,930,21358,,7,1,7,4313,0,1,2,,2,120,US-101 SB OFFRAMP TO OAKLAND ROAD,OAKLAND RD,50,N,N,B,-,Y,,,101,,,,R,,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.36262,-121.89172,SANTA CLARA,SAN JOSE,-121.89172,37.36262
90390306,2017,2017-02-10,9340,2017-02-05,110,20853,,7,3,7,4313,0,1,1,,2,281,I-280 N/B TO I-880 N/B,MACARTHUR AVE,200,S,N,B,-,Y,,,280,,,,R,,N,Y,3,0,1,2,A,-,3,22350,,F,C,C,A,A,H,-,D,D,0,,,,,Y,,-,99,0,1,0,0,0,0,0,0,0,-,-,37.31778,-121.93601,SANTA CLARA,SAN JOSE,-121.93601,37.31778
90390296,2017,2017-02-10,9340,2017-02-05,1730,19376,,7,2,7,4313,0,1,1,,2,89,I-880 S/B TO US-101 S/B,I-880,60,S,N,B,C,Y,,,880,,,,R,,S,Y,3,0,3,1,A,-,3,22350,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,7,0,1,2,0,0,0,0,0,0,-,-,37.36322,-121.90292,SANTA CLARA,SAN JOSE,-121.90292,37.36322
90385348,2017,2017-02-03,9340,2017-01-28,1805,21358,,6,2,7,4313,0,1,1,,2,681,I-680 S/B TO US-101 S/B,KING ROAD,900,S,N,A,-,Y,,,680,,,,R,,S,N,4,0,7,2,A,-,3,22350,,F,C,C,A,A,H,-,D,D,0,,,,,Y,,-,99,0,0,7,0,0,0,0,0,0,-,-,37.34191,-121.84922,SANTA CLARA,SAN JOSE,-121.84922,37.34191
90384185,2017,2017-02-02,9340,2017-01-21,130,20893,,6,3,7,4313,0,1,3,,2,83,SR-85 S/B TO ALMADEN EXPRWY,SANTA TERESA BLVD,5175,N,N,B,-,Y,,,85,,,,R,,S,Y,2,0,2,1,A,-,1,23153,A,N,E,J,A,B,H,-,C,D,0,,,,,Y,Y,A,1,1,1,0,0,0,0,0,0,0,-,-,37.2546,-121.8766,SANTA CLARA,SAN JOSE,-121.8766,37.2546
90383660,2017,2017-02-17,9340,2017-01-30,940,21347,,1,1,7,4313,0,1,1,,2,281,I-280 S/B FROM MOORPARK AVENEUE,MERIDIAN AVENUE O/C,200,N,N,A,-,Y,,,280,,,,R,,S,Y,3,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,-,37.31534,-121.91577,SANTA CLARA,SAN JOSE,-121.91577,37.31534
90382118,2017,2017-01-31,9340,2017-01-26,10,20921,,4,3,7,4313,0,1,3,,2,240,SR-237 W/B TO ZANKER ROAD,ZANKER RD,385,E,N,A,-,Y,,,237,,,,R,,W,Y,4,0,1,1,A,-,3,22350,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.42145,-121.93875,SANTA CLARA,SAN JOSE,-121.93875,37.42145
90380705,2017,2017-02-17,9340,2017-01-15,412,20885,,7,3,7,4313,0,1,2,,2,110,I-880 N/B TO US-101 N/B,10TH ST,530,N,N,A,-,Y,,,880,,,,R,,N,Y,4,0,3,2,A,-,8,22107,,F,D,C,A,A,H,-,C,D,0,,,,,Y,Y,A,1,0,0,3,0,0,0,0,0,0,-,-,37.3644,-121.90049,SANTA CLARA,SAN JOSE,-121.90049,37.3644
90380704,2017,2017-01-30,9340,2017-01-21,15,20942,,6,3,7,4313,0,1,2,,2,120,US-101 N/B TO I-880 N/B,I-880,140,S,N,B,-,Y,,,101,,,,R,,N,Y,4,0,1,1,A,-,8,22107,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.36509,-121.90055,SANTA CLARA,SAN JOSE,-121.90055,37.36509
90378233,2017,2017-01-26,9340,2017-01-18,1820,17089,,3,2,6,4316,0,1,1,,2,282,I-280 N/B TO SR-85 N/B,HOMESTEAD ROAD,2112,S,N,B,C,Y,,,280,,,,R,,N,Y,4,0,1,1,A,-,3,22350,,N,E,I,A,B,H,-,D,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.33356,-122.05525,SANTA CLARA,SUNNYVALE,-122.05525,37.33356
90375296,2017,2017-01-23,9340,2017-01-17,1950,21275,,2,2,7,4313,0,1,1,,2,281,I-280 S/B TO 10TH STREET,10TH ST,1325,N,N,A,-,Y,,,280,,,,R,,S,Y,3,0,1,2,A,-,8,22107,,N,B,C,A,A,H,-,D,D,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,-,37.32756,-121.87622,SANTA CLARA,SAN JOSE,-121.87622,37.32756
90374758,2017,2017-01-23,9340,2017-01-14,740,21347,,6,1,7,4313,0,1,1,,2,681,I-680 S/B TO MCKEE ROAD E/B,MCKEE ROAD O/C,250,S,N,A,-,Y,,,680,,,,R,,S,N,4,0,1,1,A,-,3,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,-,37.36708,-121.84604,SANTA CLARA,SAN JOSE,-121.84604,37.36708
90372135,2017,2017-01-18,9340,2017-01-17,1900,20684,,2,2,6,4316,0,1,3,,2,230,SR-237 E/B FROM LAWRENCE EXPRESSWAY S/B,LAWRENCE EXPRESSWAY,200,W,N,A,-,Y,,,237,,,,R,,E,N,3,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,-,37.40737,-122.00859,SANTA CLARA,SUNNYVALE,-122.00859,37.40737
90369378,2017,2017-01-16,9340,2017-01-12,132,20591,,4,3,7,4313,0,1,2,,2,110,US-101 N/B TO I-680 N/B,STORY RD,2000,N,N,C,-,Y,,,101,,,,R,,N,Y,3,0,1,1,A,-,1,23152,A,N,E,I,A,B,H,-,D,D,0,,,,,Y,Y,A,7,0,1,0,0,0,0,0,0,0,-,-,37.33974,-121.8495,SANTA CLARA,SAN JOSE,-121.8495,37.33974
90365875,2017,2017-02-16,9340,2017-01-07,1515,20827,,6,2,7,4313,0,1,1,,2,88,I-880 S/B RAMP TO I-280 S/B,MACARTHER AVE.,1400,N,N,C,-,Y,,,880,,,,R,,S,Y,4,0,2,3,A,-,3,22350,,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,1,0,0,2,0,0,0,0,0,0,-,-,37.31722,-121.94069,SANTA CLARA,SAN JOSE,-121.94069,37.31722
90364237,2017,2017-01-09,9340,2017-01-04,1930,20465,,3,2,7,4313,0,1,1,,2,681,I-680 S/B TO CAPITOL AVENUE E/B,CAPITOL AVENUE,0,,N,B,C,Y,,,680,,,,R,,S,N,4,0,1,2,A,-,3,22350,,N,C,C,A,B,H,-,C,D,0,,,,,Y,,A,7,0,0,1,0,0,0,0,0,0,-,-,37.39946,-121.87669,SANTA CLARA,SAN JOSE,-121.87669,37.39946
8370893,2017,2018-03-20,4300,2017-01-07,1750,2246,S8,6,5,4,4315,0,0,0,,0,71C9,SARATOGA AV,RT 85,0,,Y,C,-,Y,SCL,4,85,-,R,13.519,R,4,S,Y,4,0,1,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,-,SO,37.2767,-122.00807,SANTA CLARA,SARATOGA,-122.00489925,37.27526435
8370885,2017,2018-02-22,4300,2017-01-21,848,2226,S8,6,5,4,4315,0,0,0,,0,71S5,SARATOGA AV,RT 85,0,,Y,B,-,Y,SCL,4,85,-,R,16.063,R,4,N,N,3,0,1,3,A,-,12,21453,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,-,NO,37.27722,-122.00727,SANTA CLARA,SARATOGA,-122.03469714,37.30325769
8322157,2017,2017-06-28,4313,2017-01-12,559,3862,ROBER,4,5,7,4313,0,0,0,,0,0R3,SKYPORT DR,RT 87,0,,Y,C,-,Y,SCL,4,87,-,-,8.631,R,4,N,,4,0,1,2,A,-,12,21453,A,N,D,D,A,B,H,-,C,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,-,-,,,SANTA CLARA,SAN JOSE,-121.92199032,37.36696449
8317015,2017,2017-06-28,4307,2017-01-01,1200,S040,,7,5,4,4307,0,0,0,,0,1,GARDEN HILL DR,LARK AV,0,,Y,A,-,Y,SCL,4,17,-,-,8.97,R,4,S,N,4,0,1,2,A,-,0,21451,5,N,D,B,B,B,B,-,D,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,-,-,,,SANTA CLARA,LOS GATOS,-121.95897062,37.25069091
